2024-03-30 05:31:22 - Login attempt for user 'test1': FAILED
2024-03-30 12:55:29 UTC - Login attempt for user 'test1': FAILED
2024-03-30 12:55:32 UTC - Login attempt for user 'test2': FAILED
2024-03-30 12:55:54 UTC - Login attempt for user 'test': SUCCESSFUL
2024-03-30 13:21:10 UTC - Login attempt for user 'test': SUCCESSFUL
2024-03-30 13:21:31 UTC - Login attempt for user 'test': SUCCESSFUL
2024-03-30 13:25:24 UTC - Login attempt for user 'test': SUCCESSFUL
2024-03-30 13:25:36 UTC - Login attempt for user 'test': SUCCESSFUL
2024-03-30 13:41:41 UTC - Login attempt for user '': FAILED
2024-03-30 13:41:44 UTC - Login attempt for user 'test': SUCCESSFUL
2024-03-30 13:42:45 UTC - Login attempt for user 'test': SUCCESSFUL
2024-03-30 13:43:18 UTC - Login attempt for user 'test': SUCCESSFUL
2024-03-30 13:44:00 UTC - Login attempt for user 'test': SUCCESSFUL
2024-03-30 13:45:33 UTC - Login attempt for user 'test': SUCCESSFUL
2024-03-30 13:46:34 UTC - Login attempt for user 'test': SUCCESSFUL
2024-03-30 13:47:47 UTC - Login attempt for user 'test': SUCCESSFUL
2024-03-30 13:49:38 UTC - Login attempt for user 'test': SUCCESSFUL
2024-03-30 13:51:25 UTC - Login attempt for user 'test': SUCCESSFUL
2024-03-30 13:53:36 UTC - Login attempt for user 'test': SUCCESSFUL
2024-03-30 13:54:56 UTC - Login attempt for user 'test': SUCCESSFUL
2024-03-30 13:55:02 UTC - Login attempt for user 'test': SUCCESSFUL
2024-03-30 13:56:23 UTC - Login attempt for user 'test': SUCCESSFUL
2024-03-30 14:02:36 UTC - Login attempt for user 'test': SUCCESSFUL
2024-03-30 14:08:45 UTC - Login attempt for user 'test': SUCCESSFUL
2024-03-30 14:36:41 UTC - Login attempt for user 'test': SUCCESSFUL
2024-03-30 14:37:11 UTC - Login attempt for user 'test': SUCCESSFUL
2024-03-30 14:38:55 UTC - Login attempt for user 'test': SUCCESSFUL
2024-03-30 14:39:23 UTC - Login attempt for user 'test': SUCCESSFUL
2024-03-30 14:42:20 UTC - Login attempt for user 'test': SUCCESSFUL
2024-03-30 14:43:19 UTC - Login attempt for user 'test': SUCCESSFUL
2024-03-30 14:44:58 UTC - Login attempt for user 'test': SUCCESSFUL
2024-03-30 14:46:24 UTC - Login attempt for user 'test': SUCCESSFUL
2024-03-30 14:48:25 UTC - Login attempt for user 'test': SUCCESSFUL
2024-03-30 14:50:51 UTC - Login attempt for user 'test': SUCCESSFUL
2024-03-30 14:52:29 UTC - Login attempt for user 'test': SUCCESSFUL
2024-03-30 14:55:09 UTC - Login attempt for user 'test': SUCCESSFUL
2024-03-30 14:57:08 UTC - Login attempt for user 'test': SUCCESSFUL
2024-03-30 14:57:42 UTC - Login attempt for user 'test': SUCCESSFUL
2024-03-30 15:00:25 UTC - Login attempt for user 'test': SUCCESSFUL
2024-03-30 15:04:36 UTC - Login attempt for user 'test': SUCCESSFUL
2024-03-30 15:14:14 UTC - Login attempt for user 'test': SUCCESSFUL
2024-03-30 15:20:59 UTC - Login attempt for user 'test': SUCCESSFUL
2024-03-30 15:24:06 UTC - Login attempt for user 'test': SUCCESSFUL
2024-03-30 15:46:33 UTC - Login attempt for user 'test': SUCCESSFUL
2024-03-30 15:56:47 UTC - Login attempt for user 'test': SUCCESSFUL
2024-03-30 16:15:56 UTC - Login attempt for user 'test': SUCCESSFUL
2024-03-30 16:20:40 UTC - Login attempt for user 'test': SUCCESSFUL
2024-03-30 16:36:32 UTC - Login attempt for user 'test': SUCCESSFUL
2024-03-30 16:36:39 UTC - Login attempt for user '': FAILED
2024-03-30 16:36:41 UTC - Login attempt for user 'test': SUCCESSFUL
